カテゴリ	問題	解答1	解答2	解答3	解答4	解説
総説	国税徴収法の目的として、法令（第1条）に明記されている正しい組み合わせはどれか。	私法秩序との調整を図りつつ、納税義務の適正な実現を通じて国税収入を確保する。	裁判所の判決を迅速に得て、滞納者の財産を没収し、国家財政を安定させる。	私法秩序を優先し、納税者の生活を保護した上で、余剰金から徴収する。	租税回避行為を厳罰に処し、国民の公平な負担を強制的に実現する。	国税徴収法第1条では、「私法秩序との調整」と「納税義務の適正な実現」を通じて「国税収入を確保」することが目的とされています。
総説	国税徴収法の特徴の一つである「自力執行権」に関する説明として正しいものはどれか。	債務不履行がある場合、裁判所の判決を待たずに徴収職員自らが強制執行できる権限。	警察官の立ち会いのもとで、裁判所の執行官が差し押さえを代行する権限。	滞納者の承諾がある場合に限り、徴収職員が財産を持ち去ることができる権限。	国税の優先権を確保するため、常に裁判所に対して強制執行を申し立てる権限。	私法上の債権者が裁判所の力を借りる必要があるのに対し、国税は徴収職員が執行機関として自ら強制執行（滞納処分）を行うことができます。
総説	国税が他の債権に先立って徴収される「国税優先の原則」の理由（共益費用性）として適切なものはどれか。	国税は国家活動の基礎を成すものであり、その恩恵は全債権者に及ぶため。	国税は私債権と異なり、反対給付（対価）を前提として成立するため。	国税は債権者が債務者を自由に選定できる「無選択性」があるため。	国税は私債権に比べて履行されやすいため、優先順位を高く設定している。	国税は国家の財政力の大部分を占め、社会全体の基盤（警察、道路等）を維持する「共益費用」としての性格を持つため優先されます。
総説	「私法秩序の尊重」の観点から、国税と抵当権等の優先順位を判定する際の原則的な基準はどれか。	法定納期限等と、担保権の設定時期（登記日など）の前後。	滞納処分（差し押さえ）が開始された日と、契約を締結した日。	督促状が発送された日と、担保権が登記された日。	滞納者の総財産のうち、不動産と動産のどちらを先に差し押さえたか。	国税と私法上の担保物権との調整は、担保権者が具体的に国税の存在を知り得る時期である「法定納期限等」を基準に行われます。
総説	納税者の生活や事業の継続に配慮した「納税の緩和制度」のうち、差し押さえた財産の売却を一時的に待つ制度はどれか。	換価の猶予	滞納処分の停止	超過差押えの禁止	無益な差押えの禁止	「換価の猶予」は、一定の事由がある場合に差押財産の売却（換価）を猶予し、事業継続や生活維持を可能にする制度です。
総説	「滞納処分の停止」が適用され、その状態が継続した場合、納税義務が消滅する期間はどれか。	3年間	1年間	5年間	10年間	滞納処分の停止が3年間継続したときは、その国税を納める義務は消滅します。
総説	滞納処分の手続における「督促（とくそく）」の役割として、誤っているものはどれか。	督促状の送付後、直ちに財産を換価（売却）する法的効力を生じさせる。	差し押さえを執行するための前提要件（前提手続）となる。	滞納者に対して、納付を催告する（お知らせする）役割を持つ。	時効の完成猶予及び更新の効果を生じさせる。	督促は差し押さえの前提要件ですが、差し押さえができるのは「督促状を発した日から10日を経過した日」からです。直ちに換価できるわけではありません。
総説	「滞納処分の性質」に関する記述として、正しいものはどれか。	差し押さえ、換価、配当などの各手続は、それぞれが独立した行政処分である。	滞納処分は一連の流れであるため、差し押さえに不服があっても換価まで争えない。	滞納処分は私法上の契約行為であり、行政処分としての性質は持たない。	課税処分の違法性は、当然にその後の滞納処分に承継される。	滞納処分を構成する各手続は独立した行政処分であり、個別に不服申立てや訴訟の対象となります。
総説	「違法性の承継」の説明として、正しい組み合わせはどれか。	差押えの違法性は公売に承継されるが、課税処分の違法性は滞納処分に承継されない。	差押えの違法性は公売に承継されず、課税処分の違法性が滞納処分に承継される。	差押えの違法性も、課税処分の違法性も、すべて滞納処分に承継される。	滞納処分における手続きはすべて独立しているため、違法性は一切承継されない。	「差押え」と「公売」は同一目的の連続した手続きのため承継がありますが、「課税」と「滞納処分」は目的が異なるため承継されません。
総説	徴収法上の「納税者」の定義に含まれない者はどれか。	源泉徴収等による国税を「徴収される側」の給与所得者など。	国税を納める義務がある者（納税義務者）。	源泉徴収した税金を国に納付すべき義務がある者（源泉徴収義務者）。	納税者の国税について補充的に支払い義務を負う「第二次納税義務者」。	徴収法上、源泉徴収される側の人は直接国に納付する義務がないため「納税者」の定義には含まれません。
総説	国税徴収法が地方税や社会保険料の徴収にも準用されることから、この法律は何と呼ばれているか。	租税と公課の徴収に関する基本法	私法秩序を優先する民法の特別法	裁判所が強制執行を行うための手続法	税額を計算するための実体法	国税徴収法は、地方税や社会保険料（公課）の徴収についても広く準用されるため、「租税と公課の徴収に関する基本法」としての役割を担っています。 
総説	国税の「無選択性」とはどのような性質を指すか。	法律に基づき一律に成立し、債権者が債務者を自由に選べない性質。	納税者が納める税の種類を自由に選べる性質。	徴収職員が差し押さえる財産を自由に選べる性質。	反対給付なしに成立するため、納税者が義務を免除される性質。	私債権は相手（債務者）を自由に選べますが、国税は法律に基づき一律に成立するため、債務者を選択できない「無選択性」という特殊性があります。 
総説	徴収職員が自ら強制執行を行うことができる「自力執行権」が認められている理由として、不適切なものはどれか。	徴収職員に裁判官と同じ判決権限を与えるため。	国税の徴収が大量かつ反復的に行われるため。	裁判所を通す煩雑な手続を回避し、迅速に徴収するため。	国税が国家活動の財政的基盤として重要であるため。	自力執行権は、国税の重要性、特殊性、および大量・反復的に行われる事務の効率性を考慮して認められているもので、裁判官の権限を与えるためではありません。 
総説	国税徴収法における「法定納期限等」の役割として正しいものはどれか。	国税と私法上の担保物権との優先順位を判定する基準となる時期。	滞納者が督促状を受け取らなければならない最終期限。	徴収職員が財産調査を開始しなければならない日。	差し押さえた財産を公売に付すことができる最初の日。	原則として法定納期限を指しますが、担保権者が国税の存在を知り得る客観的な時期として、優先劣後を調整する基準となります。 
総説	更正や決定により納付すべき税額が確定した場合の「法定納期限等」はいつか。	その更正通知書又は決定通知書を発した日	各税法で定められた本来の法定納期限	税務署長が差し押さえを決定した日	納税者が実際に通知書を受け取った日	更正や決定の場合、国税の存在が具体的・客観的に明らかになる時期として「通知書を発した日」が法定納期限等となります。 
総説	滞納処分の「独立性」に関する記述として正しいものはどれか。	差押え、換価、配当の各処分は、それぞれが独立して不服申立ての対象となる。	一連の手続であるため、最後の配当が完了するまで不服を申し立てることはできない。	裁判所の許可がない限り、行政機関が独自に処分を行うことはできない。	一つの手続に違法があれば、他のすべての手続も自動的に無効となる。	滞納処分を構成する各手続はそれぞれ独立した「行政処分」としての性質を持つため、個別に争うことが可能です。 
総説	「督促（とくそく）」による消滅時効への効果として正しいものはどれか。	時効の完成猶予及び更新の効果が生じる。	時効の進行を早める効果がある。	時効を永久に停止させる効果がある。	時効が完成した後に債務を承認させる効果がある。	督促状の送付は、納付の催告であるとともに、徴収権の時効の完成猶予および更新（リセット）の効果をもたらします。 
総説	「徴収の引継ぎ」において、国税局長が税務署長から引継ぎを受けるのはどのような場合か。	大口の滞納や事案が複雑な滞納である場合。	滞納者が居住地を変更した場合。	滞納者が生活困窮者である場合。	税額が確定する前の調査段階である場合。	国税局長は、必要があると認める大口・複雑事案について、管内の税務署長から徴収の引継ぎを受けて自ら執行します。 
総説	「滞納処分免脱罪」が成立する目的（主観的要件）として正しいものはどれか。	滞納処分の執行を免れる目的。	税額を安く計算し直す目的。	納期限を延長させる目的。	財産を公共のために寄付する目的。	滞納処分の執行を免れる目的で財産を隠蔽したり損壊したりした場合、3年以下の拘禁刑などの罰則が科されます。 
総説	滞納処分により得られた「換価代金」を配当する際、最も優先して徴収されるものはどれか。	直接の滞納処分費	差押えに係る国税	法定納期限が最も古い地方税	抵当権により担保される私債権	直接の滞納処分費（差押えや保管に要した費用）は、他の国税、地方税、債権に先立って、その換価代金から優先的に徴収されます。
