カテゴリ	問題	解答1	解答2	解答3	解答4	解説
差押え	国税徴収法における「差押え」の定義として正しいものはどれか。	滞納者の財産について、法律上又は事実上の処分を禁止し、それを換価できる状態に置く強制処分。	滞納者の財産権を国に完全に移転させ、滞納者の納税義務を直ちに消滅させる処分。	裁判所の許可を得て、滞納者の住居から財産を没収し、国庫に帰属させる手続。	滞納者の合意に基づき、財産の管理を一時的に徴収職員に委託する行政指導。	差押えは、財産の処分を禁止して換価可能な状態に置く強制処分であり、所有権を直ちに国に移転するものではありません。 
差押え	通常の場合、差押えを執行するための法的な前提要件はどれか。	督促状を発した日から起算して10日を経過した日までに完納がないとき。	納期限の翌日になっても完納がないとき。	税務署長が差押予告通知書を発送し、それが滞納者に到達したとき。	督促状を発送した瞬間に、事前の猶予なくいつでも執行できる。	徴収法第47条第1項第1号により、督促状を発した日から10日を経過した日までに完納されないことが一般的な要件です。 
差押え	差押えの対象となる財産の要件として、誤っているものはどれか。	滞納者の氏名と財産の登記名義が異なる場合は、いかなる場合も差し押さえられない。	財産が国税徴収法の施行地内にあること。	財産が金銭的価値を有すること。	譲渡又は取立てができるものであること。	実質的に滞納者に帰属していれば、名義を滞納者に変更した上で差し押さえることが可能です。 
差押え	「一般の差押禁止財産」の規定が設けられている主な趣旨はどれか。	滞納者及び生計を一にする親族の最低生活の保障や精神的生活の安寧を尊重するため。	滞納者が事業を継続し、将来の増税に備えるための資金を確保させるため。	差押えの手間を省き、より高価な不動産の差押えに徴収職員を集中させるため。	第三者の所有物が混入している可能性が高く、所有権争いを避けるため。	第75条の差押禁止規定は、最低生活の保障や精神的安寧の尊重を図るために設けられています。 
差押え	差押禁止財産のうち、滞納者の承諾がある場合に限り差し押さえることができるものはどれか。	給料、賃金等の一定額。	生活に欠くことができない衣服や寝具。	3か月間の食料及び燃料。	仏像、位牌その他礼拝に直接供する物。	給与等の差押禁止規定は、滞納者の承諾がある場合には、その範囲内で差し押さえることが可能です。 
差押え	「超過差押えの禁止」に関する記述として正しいものはどれか。	徴収すべき国税の額を徴収するために必要な限度を超えて、財産を差し押さえてはならない。	差し押さえた財産の価値が滞納額を下回っている場合でも、差押えを解除しなければならない。	1つの財産の価値が滞納額を1円でも超える場合は、その財産を差し押さえてはならない。	滞納者の全財産を差し押さえた後、余った分を速やかに売却して返還しなければならない。	第48条第1項により、国税を徴収するために必要な限度を超えて差し押さえることは禁止されています。 
差押え	「無益な差押えの禁止」に該当する場合として、適切なものはどれか。	財産の価額が、滞納処分費及び国税に優先する他の債権額の合計を超える見込みがないとき。	滞納者が「その財産は自分にとって無益だ」と主張したとき。	財産の換価に3か月以上の期間を要すると見込まれるとき。	差押えによる税収の見込みが1万円以下の少額であるとき。	第48条第2項により、配当を受ける見込みがない財産を差し押さえることはできません。 
差押え	国税徴収法上の財産区分において、登録を受けた「自動車」はどのように扱われるか。	不動産の差押手続（書面の送達や登記・登録）の規定が準用される。	常に「動産」として扱われ、徴収職員による「占有」のみで効力が生じる。	「債権」として扱われ、第三債務者への通知により差し押さえられる。	「無体財産権」として扱われ、特許庁への登録により差し押さえられる。	登録を受けた自動車、船舶、航空機等は、不動産の差押手続の規定が準用されます。 
差押え	動産又は有価証券の差押えにおいて、差押えの効力が発生する原則的な時期はいつか。	徴収職員がその財産を占有した時。	差押調書を作成し、署内で決裁が完了した時。	滞納者に差押調書の謄本が送達された時。	差押えの予告通知が発送された時。	第56条第2項により、徴収職員が対象物件を占有した時に差押えの効力が生じます。 
差押え	債権の差押えにおいて、差押えの効力が発生する時期はいつか。	第三債務者に債権差押通知書が送達された時。	滞納者に差押調書謄本が交付された時。	徴収職員が債権証書（通帳等）を取り上げた時。	第三債務者が債権の存在を認める回答を税務署に送った時。	第62条第3項により、第三債務者に通知書が送達された時に効力が生じます。 
