カテゴリ	問題文	選択肢1（正解）	選択肢2	選択肢3	選択肢4	解説 
換価・配当	国税徴収法における「換価」の定義として、最も適切なものはどれか。	差押えに係る国税を徴収するために、差し押さえた財産を強制的に金銭に換えること。	差し押さえた財産の所有権を、売却手続を経ずに直ちに国に移転させること。	滞納者の同意を得て、財産を民間のオークションサイトで任意に売却すること。	差し押さえた財産を、滞納者に代わって徴収職員が管理・運用して収益を上げること。	換価とは、差押財産を強制的に金銭に換え、国税に充てる処分のことです。 
換価・配当	換価の対象（売却）とならない財産として、正しいものはどれか。	差し押さえた金銭（現金）	差押えを受けた不動産	徴収職員が占有した動産	第三債務者から取立てを行う前の債権	金銭はそのまま国税に充当するため、売却の対象にはなりません。 
換価・配当	差押財産を換価するための原則的な方法として、正しいものはどれか。	公売（入札又は競り売り）	随意契約による売却	国による買い入れ	滞納者の知人への優先売却	徴収法第94条により、換価は原則として公売に付さなければならないと定められています。 
換価・配当	公売公告は、原則として公売の日の何日前までに行わなければならないか。	少なくとも10日前まで	公売の当日	少なくとも3日前まで	少なくとも1か月前まで	徴収法第95条第1項により、原則として公売の日の少なくとも10日前までに公告する必要があります。 
換価・配当	不動産等の公売において、見積価額を公告しなければならない期限はいつか。	公売の日の3日前の日まで	公売の日の10日前まで	売却決定の当日	買受代金の納付時	徴収法第99条第1項第1号により、不動産、船舶、航空機は公売の3日前までに見積価額を公告します。 
換価・配当	換価の目的となった財産を買い受けることが法律で禁止されている者は誰か。	滞納者及び国税の事務に従事する職員	滞納者の親族（生計を別にする者）	交付要求をしている他の債権者	過去に税金を滞納したことがある者	徴収法第92条により、滞納者本人及び国税職員は買受人になれません。 
換価・配当	公売の入札に際して提供を求められる「公売保証金」の額は、原則としていくらか。	見積価額の100分の10以上の額	見積価額の全額	入札価額の2分の1の額	一律10万円	徴収法第100条第1項により、税務署長が定める見積価額の10％以上の額を提供する必要があります。 
換価・配当	動産、有価証券又は電話加入権の「売却決定」は、原則としていつ行われるか。	公売をする日（公売期日）	公売期日から7日を経過した日	買受代金が完納された日	公売公告が行われた日	徴収法第111条により、動産等の売却決定は公売期日当日に行われます。 
換価・配当	不動産を換価に付す場合の「売却決定」は、原則としていつ行われるか。	公売期日から起算して7日を経過した日	公売期日の当日	買受希望者が入札した瞬間	見積価額を公告した日	徴収法第113条第1項により、不動産等の売却決定は公売期日から7日後に行われます。 
換価・配当	買受人が換価財産の所有権を取得するタイミングはいつか。	買受代金を納付した時	売却決定がされた時	公売の最高価申込者として決定された時	財産の引渡しを受けた時	徴収法第116条第1項により、買受人は代金を納付した時に所有権を取得します。 
換価・配当	換価財産上に設定されていた抵当権等は、買受人が代金を納付したときにどうなるか。	当然に消滅する。	買受人がそのまま引き継ぐ。	滞納者の他の財産に自動的に移転する。	抵当権者が承諾しない限り存続する。	徴収法第124条第1項により、換価財産上の質権や抵当権等は代金納付時に消滅します。 
換価・配当	「果実」の換価に関する制限として、正しいものはどれか。	成熟した後でなければ換価できない。	未成熟であっても自由に公売できる。	花が咲いた時点で公売しなければならない。	収穫後に滞納者に返還しなければならない。	徴収法第90条第1項により、天然果実は成熟した後でなければ換価できません。 
換価・配当	滞納処分における「配当」の定義として正しいものはどれか。	換価代金等を、滞納処分費や国税、他の債権に配分し、残余金を滞納者に交付する手続。	徴収した国税を、国、都道府県、市区町村の予算比率に応じて分配すること。	差押財産の売却代金を、すべて滞納者の今後の生活資金として返還すること。	滞納者の株主に対し、会社の剰余金から支払われる金銭のこと。	配当とは、換価代金等を順位に従って債権者に配分する手続を指します。 
換価・配当	配当した金銭に残余（あまり）がある場合、その金銭は誰に交付されるか。	滞納者	最初に交付要求をした債権者	公売で財産を買い受けた人	国庫（国の収入となる）	徴収法第129条第3項により、残余金は滞納者に交付されます。 
換価・配当	換価代金の配当において、他のすべての国税、地方税、債権に先立って徴収されるものはどれか。	直接の滞納処分費	法定納期限が最も古い国税	最も早く登記された抵当権に係る債権	滞納者の生計を維持するための費用	徴収法第10条により、その財産の差押えや換価に要した直接の費用（滞納処分費）が最優先されます。 
換価・配当	同一財産に対し、国税の「差押え」と地方税の「交付要求」が競合した場合、どちらが優先するか。	差押えに係る国税	交付要求に係る地方税	税額が大きい方の税金	法定納期限が古い方の税金	徴収法第12条第1項により、先に差押えをした税金が優先されます。 
換価・配当	国税と私法上の担保権（抵当権等）の優先順位を判定する基準となる時期を何というか。	法定納期限等	督促状の発付日	差押調書の作成日	公売公告の日	国税と抵当権等の調整は、原則として「法定納期限等」と「設定登記日」の前後で決まります。 
換価・配当	税務署長が「配当計算書」を作成し、その謄本を発送しなければならない期限はいつか。	買受代金の納付の日から3日以内	売却決定の日の当日	換価代金の交付期日の7日前	公売公告を行った日から10日以内	徴収法第131条により、代金納付の日から3日以内に配当計算書謄本を発送します。 
