カテゴリ	問題文	選択肢1（正解）	選択肢2	選択肢3	選択肢4	解説 
納税の緩和制度	国税徴収法における「換価の猶予」の主な目的として、最も適切なものはどれか。	滞納者の事業の継続又は生活の維持を困難にするおそれがある場合に、差押財産の売却を待つことで円滑な徴収を図ること。	滞納者の納税義務を直ちに免除し、再起の機会を与えること。	滞納者の財産をすべて国が買い取り、滞納額を相殺すること。	滞納者が破産手続を開始するまで、一切の滞納処分を一時的に停止すること。	換価の猶予は、事業継続や生活維持に配慮しつつ、分割納付などにより国税を計画的に徴収する制度です。 
納税の緩和制度	税務署長が「職権」で換価の猶予をするための要件として、正しいものはどれか。	滞納者が納税について誠実な意思を有すると認められること。	滞納者が過去5年間に一度も滞納をしたことがないこと。	滞納者が生活保護を受給していること。	滞納者が裁判所に民事再生を申し立てていること。	職権による換価の猶予は、滞納者が納税について「誠実な意思」を有していることが前提となります。 
納税の緩和制度	「申請」による換価の猶予を受けるために、申請書を提出しなければならない期限はいつか。	国税の納期限から6か月以内	国税の法定納期限から1年以内	督促状が発せられた日から10日以内	差押えの登記が完了した日の翌日まで	申請による換価の猶予は、その国税の納期限から6か月以内に申請する必要があります。 
納税の緩和制度	換価の猶予（申請）において、原則として適用が除外されるケースはどれか。	猶予の申請に係る国税以外の国税（一定のものを除く）の滞納がある場合。	滞納者が事業を廃止している場合。	滞納国税の額が100万円を超えている場合。	滞納者が法人の代表者である場合。	申請による猶予は、原則として他の国税の滞納がないことが要件の一つです。 
納税の緩和制度	換価の猶予が認められる「期間」の原則的な上限はどれか。	1年	3か月	2年	5年	換価の猶予の期間は、1年を超えることができません。 
納税の緩和制度	やむを得ない理由がある場合に認められる、換価の猶予期間の「延長」を含めた合計期間の限度はどれか。	2年	1年	3年	無限に延長可能	当初の期間と延長期間を合わせて、最大で2年が限度となります。 
納税の緩和制度	換価の猶予を申請する際、申請書に添付しなければならない書類はどれか。	財産目録及び収支の明細書	過去3年分の確定申告書の写し	住民票及び印鑑証明書	主要な取引先との契約書	猶予の申請には、財産の状況や収支を明らかにする書類を添付する必要があります。 
納税の緩和制度	換価の猶予期間中における「分割納付」の金額設定について、正しい基準はどれか。	各月において合理的かつ妥当な金額となるようにする。	滞納国税の総額を猶予期間の月数で一律に均等割りする。	最初の月に滞納額の半分を納付させ、残りを分割する。	滞納者の主観的な希望額をそのまま採用する。	滞納者の財産の状況等を考慮し、合理的かつ妥当な分割納付計画を立てる必要があります。 
納税の緩和制度	換価の猶予が認められた場合の「換価の禁止」に関する記述として正しいものはどれか。	猶予期間中は、その猶予に係る国税につき、既に差し押さえている財産の換価（売却）ができない。	猶予期間中は、いかなる場合も新たな差押えを行うことができない。	猶予期間中は、他の債権者による強制執行もすべて禁止される。	猶予期間中に納付が1日でも遅れたら、その瞬間に財産が自動的に換価される。	換価の猶予の効果として、猶予期間中は差押財産の換価（売却）が禁止されます。 
納税の緩和制度	換価の猶予が行われた場合に、税務署長の判断で認められる「差押えの緩和」はどれか。	事業継続等に支障がある財産の差押えを猶予し、又は解除することができる。	滞納者の全財産の差押えを直ちに解除しなければならない。	不動産の差押登記をすべて抹消しなければならない。	第三債務者から取り立てた金銭をすべて滞納者に返還しなければならない。	事業継続や生活維持のために必要があるときは、差押えを猶予・解除することができます。 
納税の緩和制度	換価の猶予が「徴収権の消滅時効」に与える効果として、正しいものはどれか。	猶予期間中は時効が進行せず、猶予の申請があった時に時効が更新される。	時効の進行には一切影響を与えない。	時効期間が10年に延長される。	猶予が認められた瞬間に時効が完成し、納税義務が消滅する。	換価の猶予期間中は時効が進行せず（不進行）、申請等により時効が更新（リセット）されます。 
