カテゴリ	問題文	選択肢1（正解）	選択肢2	選択肢3	選択肢4	解説 
罰則	国税徴収法第187条「滞納処分免脱罪」が成立するための主観的要件（目的）として正しいものはどれか。	滞納処分の執行を免れる目的。	納期限を延長させる目的。	税額を安く計算し直す目的。	財産を公共のために寄付する目的。	徴法187条1項は、滞納処分の執行を免れる目的（又は徴収共助の要請による徴収を免れる目的）をもって行為をすることを要件としています。 
罰則	滞納処分免脱罪（第187条）に該当する行為として、誤っているものはどれか。	徴収職員の質問に対して、正当な理由なく答弁を拒否する行為。	滞納処分の執行を免れる目的で、財産を隠蔽し、又は損壊する行為。	滞納処分の執行を免れる目的で、財産を国の不利益に処分する行為。	滞納処分の執行を免れる目的で、財産に係る負担を偽って増加させる行為。	質問への不答弁や検査拒否は、第187条（免脱罪）ではなく、第188条（検査拒否等の罪）に該当します。 
罰則	納税者本人が滞納処分免脱罪を犯した場合の罰則として、正しいものはどれか。	3年以下の拘禁刑（懲役）若しくは250万円以下の罰金、又はこれらの併科。	1年以下の拘禁刑若しくは50万円以下の罰金。	2年以下の拘禁刑若しくは150万円以下の罰金、又はこれらの併科。	6月以下の拘禁刑若しくは50万円以下の罰金。	徴法187条1項により、納税者本人が免脱行為を行った場合は、3年以下の拘禁刑若しくは250万円以下の罰金に処せられます。 
罰則	情を知って、納税者の滞納処分免脱行為の「相手方」となった者に対する罰則はどれか。	2年以下の拘禁刑（懲役）若しくは150万円以下の罰金、又はこれらの併科。	3年以下の拘禁刑若しくは250万円以下の罰金、又はこれらの併科。	1年以下の拘禁刑若しくは50万円以下の罰金。	罰則の対象にはならない（納税者本人のみが罰せられる）。	徴法187条3項により、情を知って免脱行為の相手方となった違反者は、2年以下の拘禁刑若しくは150万円以下の罰金に処せられます。 
罰則	国税徴収法第188条「検査拒否等の罪」に該当する行為として、正しいものはどれか。	第141条の規定による徴収職員の質問に対して答弁をせず、又は偽りの陳述をすること。	督促状を受け取った後、10日以内に税金を納付しないこと。	差押えを受けた不動産について、通常の用法に従って使用収益すること。	公売の場所において、不当に価額を引き下げる目的で連合すること。	徴法188条1号により、質問検査権（第141条）に基づく質問への不答弁や虚偽陳述は罰則の対象となります。 
罰則	徴収職員による「物件の提示又は提出の要求」に対し、正当な理由なく応じない場合の罰則はどれか。	1年以下の拘禁刑（懲役）又は50万円以下の罰金。	3年以下の拘禁刑又は250万円以下の罰金。	2年以下の拘禁刑又は150万円以下の罰金。	拘禁刑のみで罰金刑の設定はない。	徴法188条3号により、物件の提示・提出要求に対する不履行や虚偽物件の提出は、1年以下の拘禁刑又は50万円以下の罰金に処せられます。 
罰則	法人の代表者や従業員が、その法人の業務に関して免脱罪や検査拒否等の罪を犯した場合に適用される規定（第190条）を何というか。	両罰規定	連帯納税義務規定	第二次納税義務規定	保全処分規定	徴法190条は、行為者を罰するほか、その法人や人に対しても罰金刑を科す「両罰規定」を定めています。 
罰則	公売不動産の入札に際し、暴力団員等に該当しないことの陳述について虚偽の陳述をした者（第189条）への罰則はどれか。	6月以下の拘禁刑（懲役）又は50万円以下の罰金。	3年以下の拘禁刑又は250万円以下の罰金。	1年以下の拘禁刑又は50万円以下の罰金。	罰則はなく、公売への参加が2年間禁止されるのみである。	徴法189条により、暴力団員等に該当しないこと等の陳述に係る虚偽陳述は、6月以下の拘禁刑又は50万円以下の罰金に処せられます。 
罰則	財産調査の権限（質問、検査、捜索等）の行使について、第147条第2項で禁止されている解釈はどれか。	犯罪捜査のために認められたものと解釈すること。	滞納処分を適正に行うために認められたものと解釈すること。	滞納者の隠し財産を発見するために認められたものと解釈すること。	提出された物件を留め置くことができると解釈すること。	徴法147条2項により、これらの権限は「犯罪捜査のために認められたものと解してはならない」と明記されています。 
罰則	滞納処分免脱罪（第187条）において、財産の価値を減損させる行為以外に処罰対象となる「増大」させる行為はどれか。	滞納処分費を増大させる行為。	本税の納税義務を増大させる行為。	延滞税の免除額を増大させる行為。	公売保証金の額を増大させる行為。	徴法187条1項により、現状を改変して滞納処分費（又は徴収共助に関する費用）を増大させる行為も処罰の対象となります
